Time(s) Residual_Strain
6.88137628e-03 3.07220195e-26
6.92138428e-03 3.61103138e-26
6.96139228e-03 4.13143849e-26
7.00140028e-03 4.63038318e-26
7.04140828e-03 5.10493550e-26
7.08141628e-03 5.55229276e-26
7.12142428e-03 5.96979608e-26
7.16143229e-03 6.35494607e-26
7.20144029e-03 6.70541772e-26
7.24144829e-03 7.01907438e-26
7.28145629e-03 7.29398066e-26
7.32146429e-03 7.52841429e-26
7.36147229e-03 7.72087678e-26
7.40148030e-03 7.87010287e-26
7.44148830e-03 7.97506866e-26
7.48149630e-03 8.03499843e-26
7.52150430e-03 8.04937004e-26
7.56151230e-03 8.01791896e-26
7.60152030e-03 7.94064074e-26
7.64152831e-03 7.81779216e-26
7.68153631e-03 7.64989075e-26
7.72154431e-03 7.43771291e-26
7.76155231e-03 7.18229053e-26
7.80156031e-03 6.88490614e-26
7.84156831e-03 6.54708656e-26
7.88157632e-03 6.17059522e-26
7.92158432e-03 5.75742303e-26
7.96159232e-03 5.30977799e-26
8.00160032e-03 4.83007341e-26
8.04160832e-03 4.32091502e-26
8.08161632e-03 3.78508689e-26
8.12162432e-03 3.22553623e-26
8.16163233e-03 2.64535732e-26
8.20164033e-03 2.04777441e-26
8.24164833e-03 1.43612386e-26
8.28165633e-03 8.13835603e-27
8.32166433e-03 1.84413959e-27
8.36167233e-03 -4.48582054e-27
8.40168034e-03 -1.08155877e-26
8.44168834e-03 -1.71090824e-26
8.48169634e-03 -2.33302871e-26
8.52170434e-03 -2.94434520e-26
8.56171234e-03 -3.54132997e-26
8.60172034e-03 -4.12052284e-26
8.64172835e-03 -4.67855117e-26
8.68173635e-03 -5.21214943e-26
8.72174435e-03 -5.71817824e-26
8.76175235e-03 -6.19364278e-26
8.80176035e-03 -6.63571045e-26
8.84176835e-03 -7.04172764e-26
8.88177636e-03 -7.40923559e-26
8.92178436e-03 -7.73598517e-26
8.96179236e-03 -8.01995056e-26
9.00180036e-03 -8.25934169e-26
9.04180836e-03 -8.45261537e-26
9.08181636e-03 -8.59848508e-26
9.12182436e-03 -8.69592937e-26
9.16183237e-03 -8.74419867e-26
9.20184037e-03 -8.74282073e-26
9.24184837e-03 -8.69160438e-26
9.28185637e-03 -8.59064175e-26
9.32186437e-03 -8.44030888e-26
9.36187237e-03 -8.24126474e-26
9.40188038e-03 -7.99444859e-26
9.44188838e-03 -7.70107572e-26
9.48189638e-03 -7.36263169e-26
9.52190438e-03 -6.98086490e-26
9.56191238e-03 -6.55777769e-26
9.60192038e-03 -6.09561597e-26
9.64192839e-03 -5.59685734e-26
9.68193639e-03 -5.06419795e-26
9.72194439e-03 -4.50053799e-26
9.76195239e-03 -3.90896597e-26
9.80196039e-03 -3.29274187e-26
9.84196839e-03 -2.65527926e-26
9.88197640e-03 -2.00012646e-26
9.92198440e-03 -1.33094681e-26
9.96199240e-03 -6.51498336e-27
1.00020004e-02 3.43873748e-28
1.00420084e-02 7.22826671e-27
1.00820164e-02 1.40990578e-26
1.01220244e-02 2.09170299e-26
1.01620324e-02 2.76431097e-26
1.02020404e-02 3.42385912e-26
1.02420484e-02 4.06653574e-26
1.02820564e-02 4.68861003e-26
1.03220644e-02 5.28645366e-26
1.03620724e-02 5.85656186e-26
1.04020804e-02 6.39557392e-26
1.04420884e-02 6.90029287e-26
1.04820964e-02 7.36770442e-26
1.05221044e-02 7.79499482e-26
1.05621124e-02 8.17956773e-26
1.06021204e-02 8.51905990e-26
1.06421284e-02 8.81135554e-26
1.06821364e-02 9.05459942e-26
1.07221444e-02 9.24720843e-26
1.07621524e-02 9.38788174e-26
1.08021604e-02 9.47560933e-26
1.08421684e-02 9.50967892e-26
1.08821764e-02 9.48968121e-26
1.09221844e-02 9.41551343e-26
1.09621924e-02 9.28738119e-26
1.10022004e-02 9.10579848e-26
1.10422084e-02 8.87158602e-26
1.10822164e-02 8.58586781e-26
1.11222244e-02 8.25006593e-26
1.11622324e-02 7.86589362e-26
1.12022404e-02 7.43534672e-26
1.12422484e-02 6.96069337e-26
1.12822565e-02 6.44446221e-26
1.13222645e-02 5.88942902e-26
1.13622725e-02 5.29860186e-26
1.14022805e-02 4.67520487e-26
1.14422885e-02 4.02266077e-26
1.14822965e-02 3.34457212e-26
1.15223045e-02 2.64470153e-26
1.15623125e-02 1.92695085e-26
1.16023205e-02 1.19533948e-26
1.16423285e-02 4.53981946e-27
1.16823365e-02 -2.92935188e-27
1.17223445e-02 -1.04117688e-26
1.17623525e-02 -1.78648357e-26
1.18023605e-02 -2.52459534e-26
1.18423685e-02 -3.25127622e-26
1.18823765e-02 -3.96233839e-26
1.19223845e-02 -4.65366628e-26
1.19623925e-02 -5.32124032e-26
1.20024005e-02 -5.96116019e-26
1.20424085e-02 -6.56966757e-26
1.20824165e-02 -7.14316813e-26
1.21224245e-02 -7.67825267e-26
1.21624325e-02 -8.17171726e-26
1.22024405e-02 -8.62058238e-26
1.22424485e-02 -9.02211076e-26
1.22824565e-02 -9.37382400e-26
1.23224645e-02 -9.67351766e-26
1.23624725e-02 -9.91927500e-26
1.24024805e-02 -1.01094790e-25
1.24424885e-02 -1.02428229e-25
